Ameriserv Financial Bank,Johnstown,PA,15901,6/30/16,SM,1123593,1022055,631,895513,19049,14500,118111,506,433,869,4
Ameristate Bank,Atoka,OK,74525,6/30/16,SM,224113,202623,2145,171738,18618,4980,24878,161,108,15596,277
Amfirst Bank,Mccook,NE,69001,6/30/16,NM,253324,227266,915,190094,15344,3950,36633,191,149,24863,260
AMG National Trust Bank,Boulder,CO,80302,6/30/16,N,349368,319913,1920,114969,15276,218,12680,9,65,0,0
Amistad Bank,Del Rio,TX,78840,6/30/16,NM,28751,24946,112,17626,313,799,8961,29,35,114,1
Amory Federal Savings and Loan Association,Amory,MS,38821,6/30/16,SA,88956,78450,175,65999,562,146,305,5,3,104,3
Anahuac National Bank,Anahuac,TX,77514,6/30/16,N,115848,103005,796,67265,8649,5043,17109,178,88,5338,69
ANB Bank,Denver,CO,80206,6/30/16,SM,2520228,2300782,14341,1388572,7327,9636,140942,535,584,4614,54
Anchor Bank,Aberdeen,WA,98520,6/30/16,SB,430965,371566,618,353051,5527,3554,53499,130,188,52,1
Anchor Bank   National Association,Saint Paul,MN,55104,6/30/16,N,1981510,1785913,9474,1468018,15007,22863,311103,915,1404,2570,22
Anchor Commercial Bank,Juno Beach,FL,33408,6/30/16,SM,105304,93550,210,73224,3166,691,22244,23,76,0,0
Anchor D Bank,Texhoma,OK,73949,6/30/16,SM,172933,153299,-111,119909,12078,3819,9867,170,53,16429,230
Anchor State Bank,Anchor,IL,61720,6/30/16,NM,14269,12542,198,7391,220,132,1006,13,7,3521,60
Andalusia Community Bank,Andalusia,IL,61232,6/30/16,NM,38885,33096,143,26835,2468,567,3296,25,18,680,6
Anderson Brothers Bank,Mullins,SC,29574,6/30/16,NM,557519,504978,3062,456798,169337,25988,71621,1116,300,8437,151
Anderson State Bank,Oneida,IL,61467,6/30/16,NM,81373,69442,244,27781,2139,1239,2340,59,12,5704,69
Andes State Bank,Lake Andes,SD,57356,6/30/16,NM,26400,23894,82,11806,1936,1201,1919,59,10,3411,62
Andover State Bank,Andover,KS,67002,6/30/16,NM,78550,71681,191,66611,920,1902,22822,60,88,440,11
Andrew Johnson Bank,Greeneville,TN,37743,6/30/16,NM,334305,300607,1756,276365,5221,10822,52941,429,233,4326,67
Androscoggin Savings Bank,Lewiston,ME,4240,6/30/16,SB,880964,781239,2768,722051,1903,9926,106938,290,417,1000,12
Angelina Savings Bank  SSB,Lufkin,TX,75901,6/30/16,SB,64722,59062,144,31352,9907,1083,4110,38,23,406,9
Ann Arbor State Bank,Ann Arbor,MI,48104,6/30/16,NM,263038,233062,2021,169054,1038,4217,57358,107,213,848,2
Anna State Bank,Anna,IL,62906,6/30/16,NM,72540,60405,349,35458,2111,1562,7365,51,34,4045,45
Annandale State Bank,Annandale,MN,55302,6/30/16,NM,140783,123659,602,74246,1154,2783,17659,93,72,1857,19
Anstaff Bank,Green Forest,AR,72638,6/30/16,NM,434635,394479,2839,269544,10633,6768,33087,412,159,43362,772
Anthem Bank and Trust,Plaquemine,LA,70764,6/30/16,SA,141571,127096,280,89773,1820,2161,19489,56,51,0,0
ANZ Guam  Inc.,Hagatna,GU,96910,6/30/16,NM,342759,295867,-250,133268,2226,1898,14087,65,92,0,0
Apex Bank,Camden,TN,38320,6/30/16,NM,386455,316486,7887,313118,12448,6969,46601,243,189,3495,57
Apollo Bank,Miami,FL,33130,6/30/16,NM,543167,488780,1928,400849,24637,1171,37443,28,120,0,0
Apollo Trust Company,Apollo,PA,15613,6/30/16,SM,156096,138763,607,74081,1307,2082,14184,165,62,0,0
Apple Bank for Savings,Manhasset,NY,11030,6/30/16,SB,12884015,11848184,27536,10128911,18124,246,8873,6,20,0,0
Apple River State Bank,Apple River,IL,61001,6/30/16,NM,304391,274172,2075,184807,11183,7908,37261,279,186,22504,253
Applied Bank,Wilmington,DE,19803,6/30/16,NM,191660,149184,1853,75131,59,65,6894,6,25,0,0
Aquesta Bank,Cornelius,NC,28031,6/30/16,NM,333421,309587,1077,231754,202,5516,54511,224,193,0,0
Arbor Bank,Nebraska City,NE,68410,6/30/16,NM,271245,248848,1253,221833,4981,3103,32836,106,127,27582,221
Arcola First Bank,Arcola,IL,61910,6/30/16,NM,117539,102125,450,13263,217,522,1404,40,11,3127,77
Argentine Federal Savings,Kansas City,KS,66106,6/30/16,SA,50091,43040,72,37528,199,103,352,3,3,0,0
Arizona Bank and Trust,Phoenix,AZ,85016,6/30/16,NM,577002,515827,3962,390860,8866,5196,82856,233,385,0,0
Arkansas County Bank,De Witt,AR,72042,6/30/16,SM,171179,152073,1012,103999,4824,4277,10813,232,43,19750,227
Arlington State Bank,Arlington,MN,55307,6/30/16,NM,58854,53093,285,21579,894,1396,2459,66,17,6059,83
Armed Forces Bank  National Association,Fort Leavenworth,KS,66027,6/30/16,N,1030615,793380,4092,522600,5787,223,3670,8,15,152,2
Armstrong Bank,Muskogee,OK,74401,6/30/16,NM,868258,761947,9813,660793,63251,20125,101090,694,497,62966,1240
Armstrong County Building and Loan Association,Ford City,PA,16226,6/30/16,SA,85955,73494,-7,55715,894,306,1446,6,8,0,0
Aroostook County Federal Savings and Loan Association,Caribou,ME,4736,6/30/16,SA,108215,95733,312,87520,4142,1379,6635,63,28,797,9
Arrowhead Bank,Llano,TX,78643,6/30/16,NM,163866,148342,470,88653,7144,4529,20082,207,87,10425,221
Arthur State Bank,Union,SC,29379,6/30/16,NM,468391,427226,1552,327921,7746,9688,69578,371,342,949,9
Artisans' Bank,Wilmington,DE,19808,6/30/16,SB,507250,459372,1318,356283,804,2100,63400,71,231,701,2
Arundel Federal Savings Bank,Glen Burnie,MD,21061,6/30/16,SA,457107,394440,772,287349,101,85,2900,2,7,0,0
Arvest Bank,Fayetteville,AR,72701,6/30/16,SM,16612521,14939593,38967,9294177,926135,281933,1049802,10879,5428,294813,5735
Asheville Savings Bank  S.S.B.,Asheville,NC,28801,6/30/16,SB,804588,715595,2993,611164,29246,6658,83407,487,302,665,6
Ashton State Bank,Ashton,NE,68817,6/30/16,NM,22297,20097,117,16089,590,620,0,19,0,9068,146
Asian Bank,Philadelphia,PA,19107,6/30/16,SM,157877,145335,506,113134,43,5035,76172,87,274,0,0
Asian Pacific National Bank,San Gabriel,CA,91776,6/30/16,N,56331,47035,121,21414,1,168,13973,3,42,0,0
