name,city,stalp,zip,repdte,number_of_employees,asset,liabilities,deposits,common_stock,derivatives,total_securities,asset_backed_securities,mortgage_backed_securities,1_4_family_residential_loans,home_equity_loans,adjustable_rate_loans_secured_by_1-4_family_residential,total_loans,individual_loans,micro_amount,micro_number,small_business_amount,small_business_number,agg_amount,agg_number,other_real_estate_owned,real_estate_acquired,other_real_estate_owned_1-4_family,other_real_estate_owned_multi-family_residential,other_real_estate_owned_commercial_real_estate,other_real_estate_owned_construction_development,other_real_estate_owned_farmland,foreclosed_properties_from_GNMA_loans,total_deposits,net_interest_margin,noninterest_income_to_average_assets,noninterest_expense_to_average_assets,loan_and_lease_loss_provision_to_assets,net_operating_income_to_assets,roa,roe,retained_earnings_to_average_equity,net_charge_offs_to_loans,net_loans_and_leases_to_total_assets,net_loans_and_leases_to_deposits,net_loans_and_leases_to_core_deposits,total_domestic_deposits_to_total_assets,average_total_assets,average_earning_assets,average_equity,average_total_loans,number_domestic_offices,number_of_offices_in_insured_other_areas,cbsa_metro
Adirondack Bank,Utica,NY,13501,6/30/16,180,766066,707623,648375,3792,0,259572,0,33103,210751,54243,59711,461241,10374,18514,494,124789,517,0,0,193,193,99,0,94,0,0,0,648375,3.108024102,1.036450443,2.987168146,8.90E-02,0.661211144,0.661211144,8.861623682,8.279318661,6.63E-02,59.78283855,70.63443223,84.78556274,84.63696339,759515.33,713572.33,56671.33,464327.67,18,0,46540
Admirals Bank,Boston,MA,2116,6/30/16,142,445570,393492,369344,250,0,0,0,0,21816,2272,4590,336859,46416,1601,78,25729,110,451,7,0,0,0,0,0,0,0,0,369344,4.522547947,1.880713542,7.111490415,0.396462543,-0.800149915,-0.800149915,-6.712375469,-6.712375469,0.148316262,74.96689634,90.43872379,159.7228531,82.89247481,442917,416712,52798,342511.33,2,0,14460
Adrian Bank,Adrian,MO,64720,6/30/16,30,140046,125401,124952,100,0,37508,0,14447,14365,0,5381,89053,6578,6860,302,13414,81,33800,595,124,124,0,0,124,0,0,0,124952,3.599842099,0.552691049,1.984019151,0.596622902,1.332127144,1.383144779,13.79310345,8.140192199,0.769483841,62.82792797,70.4174403,73.52184231,89.22211273,141127.67,131728,14152,89150.67,3,0,28140
Adrian State Bank,Adrian,MN,56110,6/30/16,11,43853,39664,39565,120,0,7135,0,2056,1329,0,0,32089,1062,1045,62,3307,18,14980,234,0,0,0,0,0,0,0,0,39565,3.826358549,0.206150131,2.169057896,0.161334885,1.568533603,1.568533603,17.01229989,3.791312548,-3.89E-02,72.54691811,80.4094528,81.45113802,90.22187764,44627.67,43069.67,4114.67,30887.33,1,0,
Advantage Bank,Oklahoma City,OK,73141,6/30/16,31,62611,54938,51768,337,0,9829,0,5548,13078,0,8493,46469,1968,2384,111,8580,53,659,11,295,295,62,0,233,0,0,0,51768,5.611716342,0.867117927,4.697432076,4.89E-02,1.362613885,1.395212303,11.40978869,6.55796266,0.199431266,73.64041462,89.06467316,90.58705647,82.68195684,61352.67,57308.67,7502.33,45128.33,2,0,36420
Advantage Bank,Loveland,CO,80538,6/30/16,41,272349,247015,233422,2406,0,20180,0,15823,54052,1975,4435,222487,478,6239,197,60824,208,0,0,1446,1446,0,0,0,1446,0,0,233422,4.967530665,0.210809339,3.177838646,0.558420482,1.15795626,1.15795626,12.6566092,12.6566092,2.04E-02,81.0875017,94.61019098,100.0326133,85.7069422,267540.33,252238,24477.33,215450.33,4,0,22660
Advantage Community Bank,Dorchester,WI,54425,6/30/16,30,137216,121238,117065,90,0,18990,0,0,27237,4483,0,94386,3020,4216,163,21755,108,14077,158,0,0,0,0,0,0,0,0,117065,3.239069285,0.509284734,2.185559057,5.53E-02,0.871604444,0.871604444,7.62086514,3.804071247,6.64E-02,67.93376866,79.62755734,82.3048465,85.31439482,137447.67,128987.67,15720,93376.67,4,0,
Affiliated Bank,Bedford,TX,76021,6/30/16,208,587948,531489,446678,2,33767,0,0,0,195846,1114,148032,532020,8468,4717,106,53450,152,242,2,93,93,93,0,0,0,0,0,446678,5.048829938,1.581687691,4.132358628,0.254727457,1.326960233,1.326960233,14.10418396,6.884228006,2.41E-02,89.27507195,117.5099289,148.0517979,75.9723649,588864.67,563417.67,55402,531962.33,4,0,19100
Affinity Bank,Atlanta,GA,30328,6/30/16,24,264581,246071,212884,5961,0,12167,0,7640,2433,212,792,191627,712,5156,182,109835,399,0,0,8270,8270,0,0,0,8270,0,0,212884,2.893170112,-0.394671438,2.311539398,0,-4.97E-02,-4.97E-02,-0.71909799,-0.71909799,-2.27E-02,71.50248884,88.86623701,89.52818134,80.46080406,265537.33,239184,18356.33,193725.67,1,0,12060
AIG Federal Savings Bank,Wilmington,DE,19809,6/30/16,10,33085,1765,500,0,0,22807,0,19028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0.674925594,14.55737558,6.379822812,0,5.34476617,5.34476617,5.716936538,5.716936538,,0,0,,1.511258879,33041.67,22817.33,30890.67,,1,0,37980
